Dog,ID,UTC.Date,UTC.Time,ActivityX,ActivityY,LocalDate,LocalDate2,LocalTime,timedate,conc,timedate.local,Duration,SumAct,SSDateTime,SSDate,SSTime,Bout,Intensity,PartOfDay,Stop.time.or.start,StopTime_Previous,Pack,Dusk,Dawn,Moonlight,Moonlight_before,Babysit,Babysit morning,Babysit evening,Denning,Temperature,Temp_cent,Rainfall,n
96,WDF96,26/01/2009,03:15:00,1,0,26/01/2009,27/01/2013,06:15:00,26/01/2009 03:15,WDF9641301,26/01/2009 06:15,115,5672,26/01/2009 06:15,26/01/2009,06:15:00,Start,49.32174,Morning,08:10:00,26/01/2009 06:00,Loisaba,27/01/2013 06:21,27/01/2013 19:11,10.98166573,0.151332223,no,no,no,No,29.17,1.495262396,0,1
96,WDF96,03/05/2008,03:05:00,4,2,03/05/2008,04/05/2012,06:05:00,03/05/2008 03:05,WDF9641033,03/05/2008 06:05,185,5819,03/05/2008 06:05,03/05/2008,06:05:00,Start,31.45405405,Morning,09:10:00,03/05/2008 04:05,Loisaba,04/05/2012 06:05,04/05/2012 18:55,10.53619718,0.142848937,no,no,no,No,29.15,1.475262396,0,1
96,WDF96,20/09/2008,02:50:00,84,126,20/09/2008,21/09/2012,05:50:00,20/09/2008 02:50,WDF9641173,20/09/2008 05:50,215,7745,20/09/2008 05:50,20/09/2008,05:50:00,Start,36.02326,Morning,09:25:00,20/09/2008 05:30,Loisaba,21/09/2012 06:02,21/09/2012 18:50,2.086206841,0,no,no,no,No,29.14,1.465262396,0,1
96,WDF96,22/09/2008,03:05:00,112,157,22/09/2008,23/09/2012,06:05:00,22/09/2008 03:05,WDF9641175,22/09/2008 06:05,125,6050,22/09/2008 06:05,22/09/2008,06:05:00,Start,48.4,Morning,08:10:00,22/09/2008 04:40,Loisaba,23/09/2012 06:02,23/09/2012 18:50,4.51154702,5.433285574,no,no,no,No,29.13,1.455262396,0,1
96,WDF96,23/01/2009,03:00:00,3,2,23/01/2009,24/01/2013,06:00:00,23/01/2009 03:00,WDF9641298,23/01/2009 06:00,145,3322,23/01/2009 06:00,23/01/2009,06:00:00,Start,22.91034,Morning,08:25:00,23/01/2009 05:40,Loisaba,24/01/2013 06:20,24/01/2013 19:10,9.570922072,3.904248679,no,no,no,No,29.05,1.375262396,0,1
96,WDF96,30/09/2008,02:55:00,63,52,30/09/2008,01/10/2012,05:55:00,30/09/2008 02:55,WDF9641183,30/09/2008 05:55,135,8739,30/09/2008 05:55,30/09/2008,05:55:00,Start,64.73333,Morning,08:10:00,30/09/2008 05:40,Loisaba,01/10/2012 05:59,01/10/2012 18:47,9.95113725,0.33599105,no,no,no,No,29.03,1.355262396,0,1
96,WDF96,25/03/2008,03:00:00,76,81,25/03/2008,26/03/2012,06:00:00,25/03/2008 03:00,WDF9640994,25/03/2008 06:00,210,5665,25/03/2008 06:00,25/03/2008,06:00:00,Start,26.97619048,Morning,09:30:00,25/03/2008 05:45,Loisaba,26/03/2012 06:15,26/03/2012 19:03,0.532446318,6.918550857,no,no,no,No,29.02,1.345262396,0,1
96,WDF96,10/01/2009,03:10:00,87,113,10/01/2009,11/01/2013,06:10:00,10/01/2009 03:10,WDF9641285,10/01/2009 06:10,150,5372,10/01/2009 06:10,10/01/2009,06:10:00,Start,35.81333,Morning,08:40:00,10/01/2009 05:45,Loisaba,11/01/2013 06:16,11/01/2013 19:06,0,11.08555414,yes,no,yes,Yes,28.98,1.305262396,0,1
96,WDF96,12/01/2009,03:05:00,7,9,12/01/2009,13/01/2013,06:05:00,12/01/2009 03:05,WDF9641287,12/01/2009 06:05,125,9012,12/01/2009 06:05,12/01/2009,06:05:00,Start,72.096,Morning,08:10:00,12/01/2009 05:40,Loisaba,13/01/2013 06:16,13/01/2013 19:07,0.121560052,4.17269462,no,no,no,No,28.94,1.265262396,0.25,1
96,WDF96,02/10/2008,03:00:00,41,42,02/10/2008,03/10/2012,06:00:00,02/10/2008 03:00,WDF9641185,02/10/2008 06:00,140,8835,02/10/2008 06:00,02/10/2008,06:00:00,Start,63.10714,Morning,08:20:00,02/10/2008 05:40,Loisaba,03/10/2012 05:58,03/10/2012 18:46,7.464840251,0.008595542,no,no,no,No,28.89,1.215262396,0,1
96,WDF96,21/04/2008,02:45:00,4,5,21/04/2008,22/04/2012,05:45:00,21/04/2008 02:45,WDF9641021,21/04/2008 05:45,210,11154,21/04/2008 05:45,21/04/2008,05:45:00,Start,53.11428571,Morning,09:15:00,21/04/2008 04:50,Loisaba,22/04/2012 06:07,22/04/2012 18:56,0.025679826,3.60541578,no,no,no,No,28.88,1.205262396,0.25,1
